,Directors,Sentiment
0,Todd Holland,0.15284803370786515
1,Shelley Jensen,0.09717325581395346
2,Paul Lazarus,0.09775984251968507
3,Arlene Sanford,0.09039637462235643
4,James Burrows,0.0929485580884371
5,David Steinberg,0.11378472222222218
6,Alan Myerson,0.0831962108731466
7,Gail Mancuso,0.09345657492354734
8,Gary Halvorson,0.09032676696209282
9,Michael Lembeck,0.0959231210383335
10,David Schwimmer,0.08772487373737368
11,Steve Zuckerman,0.10836096774193538
12,Robby Benson,0.08827779036827196
13,Peter Bonerz,0.08754872521246462
14,Pamela Fryman,0.10380551415797315
15,Mary Kay Place,0.11259628571428568
16,Kevin S. Bright,0.09210386906450517
17,Sam Simon,0.09554086956521732
