From,To
Mr. Waltham,Ross
Carl (Rachel's date),Rachel
Malcolm,David
The Chick and The Duck,Monica
Frances,Chandler
Emilio,Monica
Cookie,Joey
Amy Greene,Sandra Greene
Mike Hannigan,Eric
Tommy,Chandler
Alan Lewis,Howard
Nancy (realtor),Chandler
Aunt Lillian,Eric
Unnamed Season 7 Characters,Joey
Marcel,Monica
Bonnie,Monica
Nurse Sizemore,Chandler
Paul Stevens,Charles Bing
Mrs. Buffay (Frank Sr.'s second wife),Schnoodle
Estelle Leonard,Phoebe
Ben Geller,Cookie
Uncle Dan,Monica
Aaron Goralnik,Rachel
Erin,Rachel
Molly,Rachel
Tom,Ross
Albert,Chandler
Grandma Geller,Jack Geller
Parker,David
Dr. Long,Rachel
Steve (drug addict),Doug
Althea's husband,Jack Geller
Angela Delveccio,Joey
Bill,Chandler
The Waiter,Joey
Sandra Greene's father,Rachel
Melissa Warburton,Monica
Ashley Tribbiani,Joey
Cheryl,Ross
Steven Fisher,Monica
Jack Geller,Richard Burke
Kathy,Joey
Dr. Gettleman,Ross
Janice Litman-Goralnik,Mr. Heckles
Isabella Rossellini,Ross
Margha,Chandler
Carol Willick,Judy Geller
Laura,Maria
Catherine,Judy Geller
Cousin Frannie,Emily Waltham
Mitzi,Rachel
Bitsy Hannigan,Monica
Emily Waltham,Stephen Waltham
Katie (saleswoman),Katie
Emma Geller-Greene,Sandra Greene
Mike Hannigan,Ursula Buffay
Arthur,Carl (bully)
Uncle Murray,Carol Willick
Josh,Monica
Richard Burke,Rachel
Owen,Ross
Marc Coreger,Rachel
Mike Hannigan's sister,Phoebe
Ms. McKenna,Chandler
Ben Geller,Eric
Cassie,Jack Geller
Sid Goralnik,Rachel
Bob (Chandler's coworker),Chandler
Frank Jr. Jr.,Chandler
Dina,Bob
Robert,Phoebe
Shovelly Joe,Chandler
Cathy,Jean-Claude Van Damme
Frank Buffay Jr.,Leslie
Dr. Gettleman,Monica
Ms. Stevens,Stevens siblings' mother
Roger,Phoebe
Aunt Sylvia,Ross
Uncle Sal,Joey Tribbiani Sr.
Joshua Burgin,Rachel
Doug,Chandler
Luisa Gianetti,Ross
Nancy,Nancy (realtor)
Nonna,Mary-Therese Tribbiani
Dina,Gina Tribbiani
Grandma Geller,Erica
Kara,Chandler
Paula,Jen
Arthur,Chandler
Felicity,Joey
Althea,Ben Geller
Gunther,Emma Geller-Greene
