CH_1,CH_2
Lydia,Roy
Charla Nichols,Sarah
Tag Jones,Ralph Lauren
Colleen,Phoebe
Chip Matthews,Rachel
Gary (neighbor),Gary
Roy Gublik,Monica
Michelle,Jen
Mary,Mike Hannigan
Mitzi,Ross
Emily Waltham,Janice Litman-Goralnik
Guru Saj,Joey
Jasmine,Ross
Mona,Ross
Tribbiani Sisters,Monica
Robert,Monica
Judy Geller,Joey
Jack Geller,Ross
Kathy,Phoebe
Maureen,Judy Geller
Althea,Aunt Phylis
Unnamed Season 7 Characters,Jeffrey
Duncan,Phoebe Abbott
Duncan,Frances
Bob (rat),Monica
Bobby Rush,Rachel
Cecilia Monroe,Joey
Eric,Ursula Buffay
Aunt Lillian,Judy Geller
Tag Jones,Rachel
Molly,Monica
Precious,Mike Hannigan
Fun Bobby,Fun Bobby's grandfather
Eric,Malcolm
Howard,Joey
Steve (Chandler's boss),Ben Geller
Mr. Burgin,Josh
Sarah Tuttle,Rachel
Althea's husband,Eric
George Stephanopoulos,Rachel
Nonna,Cookie
Barry Farber,Monica
Ben Geller,Erica Bing
The Chick and The Duck,Rachel
Uncle Sal,Joey
Fun Bobby,Monica
Judy Geller,Fake Monica
"Todd, the Hombre Man",Annabel
Aunt Iris,Monica
Erica,Monica
Nora Tyler Bing,Jack Geller
Mr. Wheeler,Joey
Dr. Baldharan,Ross
Chappy,Ross
Rhonda,Joey
Mary Ellen Jenkins,Mary
Amanda (Monica And Chandler's wedding),Rachel
Andrea Waltham,Rachel
Roy Gublik,Roy
Emma Geller-Greene,Monica
Sandra Greene,Barry Farber
Stryker Ramoray,Frances
The Dry Cleaner's Wife,Joey
Joshua Burgin's ex-wife,Josh
Frank Jr. Jr.,Chandler
Jasmine,Mr. Treeger
Caitlin,Phoebe
Aunt Sylvia,Uncle Freddie
Aurora,Rick
Precious,Phoebe
George Stephanopoulos,Robert
Gavin Mitchell,Ralph Lauren
Emily Waltham,Liam
Stuart,Eric
Dan,Don
Dr. Ledbetter,Chandler
"Roy ""Goodbody""",Rachel
Muriel,Ross
