,Name,Sentiment,No_of_Lines,Gender
0,Aaron Goralnik,,0.0,male
1,Al Zebooker,,0.0,male
2,Alan,0.2434285714285714,7.0,male
3,Alan Lewis,0.2434285714285714,7.0,male
4,Albert,,0.0,male
5,Alice Knight,0.08486511627906977,43.0,female
6,Allesandro,0.10926476964769648,369.0,unknown
7,Althea,,0.0,female
8,Althea's husband,,0.0,unknown
9,Amanda (Monica And Chandler's wedding),0.5063599999999999,5.0,female
10,Amanda (Ross' date),0.5063599999999999,5.0,female
11,Amanda Buffamonteezi,0.5063599999999999,5.0,female
12,Amy Greene,,0.0,female
13,Amy Welsh,,0.0,female
14,Andrea Waltham,-0.0772,1.0,female
15,Andrew,,0.0,male
16,Angela Delveccio,0.1929777777777778,18.0,female
17,Anita Altman,,0.0,female
18,Annabel,,0.0,female
19,Arthur,,0.0,male
20,Ashley Tribbiani,,0.0,female
21,Aunt Cheryl,,0.0,female
22,Aunt Iris,,0.0,female
23,Aunt Liddy,,0.0,female
24,Aunt Lillian,,0.0,female
25,Aunt Lisa,,0.0,female
26,Aunt Millie,,0.0,female
27,Aunt Phylis,,0.0,female
28,Aunt Sylvia,,0.0,female
29,Aurora,0.12622666666666668,30.0,female
30,Barbara Burke,,0.0,female
31,Barry Farber,0.133872,50.0,male
32,Ben Geller,0.010588059701492533,67.0,male
33,Benjamin Hobart,0.010588059701492533,67.0,male
34,Bill,0.119025,8.0,male
35,Bitsy Hannigan,0.15302380952380956,21.0,unknown
36,Bob,0.04174545454545455,22.0,male
37,Bob (Chandler's coworker),0.04174545454545455,22.0,male
38,Bob (rat),0.04174545454545455,22.0,male
39,Bobby Corso,0.04174545454545455,22.0,male
40,Bobby Rush,0.04174545454545455,22.0,male
41,Bonnie,0.1643945945945946,37.0,female
42,Brenda,0.10326874999999999,16.0,female
43,Brown Bird Troop Leader,0.09444,10.0,unknown
44,Bruce Buffer,,0.0,male
45,Buddy Doyle,,0.0,male
46,Michelle Burke,,0.0,female
47,Cailin,0.0734,6.0,unknown
48,Cailin Praytor,0.0734,6.0,unknown
49,Caitlin,0.025309677419354845,31.0,female
50,Carl (actor),0.013344444444444443,9.0,male
51,Carl (bully),0.013344444444444443,9.0,male
52,Carl (Rachel's date),0.013344444444444443,9.0,male
53,Carlos,0.013344444444444443,9.0,male
54,Carol Willick,0.04719687499999999,64.0,female
55,Caroline Duffy,0.09350344827586207,174.0,male
56,Cassie,0.137325,20.0,female
57,Catherine,0.16231111111111113,9.0,female
58,Cathy,,0.0,female
59,Cecilia Monroe,0.10485645161290322,62.0,male
60,Celia,0.023124999999999996,8.0,female
61,Chandler,0.08875212647241171,8065.0,male
62,Chandler Buffay,,0.0,male
63,Chappy,,0.0,unknown
64,Charla Nichols,,0.0,female
65,Charles Bing,,0.0,unknown
