,Character,Value
0,Ross,0.5166666666666667
1,Rachel,0.4761904761904762
2,Monica,0.46190476190476193
3,Joey,0.4357142857142858
4,Chandler,0.430952380952381
5,Phoebe,0.35000000000000003
6,Ben Geller,0.11190476190476191
7,Emma Geller-Greene,0.10476190476190478
8,Jack Geller,0.09761904761904763
9,Judy Geller,0.09285714285714286
10,Mike Hannigan,0.0880952380952381
11,Emily Waltham,0.07857142857142858
12,Eric,0.07857142857142858
13,Ursula Buffay,0.07380952380952381
14,Carol Willick,0.07142857142857144
15,Erica,0.06904761904761905
16,Dan,0.06666666666666668
17,Erica Bing,0.05952380952380953
18,Gunther,0.05714285714285715
19,Michael,0.05476190476190477
20,Charlie Wheeler,0.05476190476190477
21,Sandra Greene,0.05238095238095239
22,Stu,0.05
23,Dina,0.05
24,Jen,0.05
25,Tribbiani Sisters,0.04761904761904762
26,David,0.04761904761904762
27,Unnamed Season 7 Characters,0.04761904761904762
28,Leonard Greene,0.045238095238095244
29,Frank Buffay Sr.,0.045238095238095244
